[0] [node-0] PingPacket { source_id: 0 }
[0] [node-1] PingPacket { source_id: 1 }
[0] [node-2] PingPacket { source_id: 2 }
[0] [node-3] PingPacket { source_id: 3 }
[0] [node-4] PingPacket { source_id: 4 }
[0] [node-5] PingPacket { source_id: 5 }
[0] [node-6] PingPacket { source_id: 6 }
[0] [node-7] PingPacket { source_id: 7 }
[0] [node-8] PingPacket { source_id: 8 }
[0] [node-9] PingPacket { source_id: 9 }
[0] [node-10] PingPacket { source_id: 10 }
[0] [node-11] PingPacket { source_id: 11 }
[0] [node-12] PingPacket { source_id: 12 }
[0] [node-13] PingPacket { source_id: 13 }
[0] [node-14] PingPacket { source_id: 14 }
[0] [node-15] PingPacket { source_id: 15 }
[0] [node-16] PingPacket { source_id: 16 }
[0] [node-17] PingPacket { source_id: 17 }
[0] [node-18] PingPacket { source_id: 18 }
[0] [node-19] PingPacket { source_id: 19 }
[10ns] [node-0] created a message destined for all nodes
[15m] [node-6] PingPacket { source_id: 6 }
[15m] [node-7] PingPacket { source_id: 7 }
[15m] [node-8] PingPacket { source_id: 8 }
[15m] [node-9] PingPacket { source_id: 9 }
[15m] [node-10] PingPacket { source_id: 10 }
[15m] [node-11] PingPacket { source_id: 11 }
[15m] [node-12] PingPacket { source_id: 12 }
[15m] [node-13] PingPacket { source_id: 13 }
[15m] [node-14] PingPacket { source_id: 14 }
[15m] [node-15] PingPacket { source_id: 15 }
[15m] [node-16] PingPacket { source_id: 16 }
[15m] [node-17] PingPacket { source_id: 17 }
[15m] [node-18] PingPacket { source_id: 18 }
[15m] [node-19] PingPacket { source_id: 19 }
[15m 34ms 383μs 40ns] [node-16] SummaryVectorPacket { source_id: 16, destination_id: 12, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-17] SummaryVectorPacket { source_id: 17, destination_id: 13, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-18] SummaryVectorPacket { source_id: 18, destination_id: 14, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-19] SummaryVectorPacket { source_id: 19, destination_id: 15, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-12] SummaryVectorPacket { source_id: 12, destination_id: 16, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-13] SummaryVectorPacket { source_id: 13, destination_id: 17, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-14] SummaryVectorPacket { source_id: 14, destination_id: 18, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 34ms 383μs 40ns] [node-15] SummaryVectorPacket { source_id: 15, destination_id: 19, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-12] SummaryVectorPacket { source_id: 12, destination_id: 8, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-13] SummaryVectorPacket { source_id: 13, destination_id: 9, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-14] SummaryVectorPacket { source_id: 14, destination_id: 10, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-15] SummaryVectorPacket { source_id: 15, destination_id: 11, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-8] SummaryVectorPacket { source_id: 8, destination_id: 12, summary_vector: 0000000000000100000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-9] SummaryVectorPacket { source_id: 9, destination_id: 13, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
[15m 36ms 111μs 341ns] [node-10] SummaryVectorPacket { source_id: 10, destination_id: 14, summary_vector: 0000000000000000000000000000000000000000000000000000000000000000 }
